job,structure,environment,batch,kind,resin,pfas,pose,charge,multiplicity,atoms,cpus,mem_gb,gaussian_mem_gb,hours,pilot,input_dir
PC4P-Me_PFBA_alternate_oxygen__water,PC4P-Me_PFBA_alternate_oxygen,water,2,complex,PC4P-Me,PFBA,alternate_oxygen,0,1,90,8,64,48,48,0,inputs/water/PC4P-Me_PFBA_alternate_oxygen
PC4P-Me_PFBA_alternate_oxygen__unsolvated,PC4P-Me_PFBA_alternate_oxygen,unsolvated,2,complex,PC4P-Me,PFBA,alternate_oxygen,0,1,90,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFBA_alternate_oxygen
PC4P-Me_PFPeA_head_axial__water,PC4P-Me_PFPeA_head_axial,water,2,complex,PC4P-Me,PFPeA,head_axial,0,1,93,8,64,48,48,0,inputs/water/PC4P-Me_PFPeA_head_axial
PC4P-Me_PFPeA_head_axial__unsolvated,PC4P-Me_PFPeA_head_axial,unsolvated,2,complex,PC4P-Me,PFPeA,head_axial,0,1,93,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFPeA_head_axial
PC4P-Me_PFPeA_head_tangential__water,PC4P-Me_PFPeA_head_tangential,water,2,complex,PC4P-Me,PFPeA,head_tangential,0,1,93,8,64,48,48,0,inputs/water/PC4P-Me_PFPeA_head_tangential
PC4P-Me_PFPeA_head_tangential__unsolvated,PC4P-Me_PFPeA_head_tangential,unsolvated,2,complex,PC4P-Me,PFPeA,head_tangential,0,1,93,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFPeA_head_tangential
PC4P-Me_PFPeA_alternate_oxygen__water,PC4P-Me_PFPeA_alternate_oxygen,water,2,complex,PC4P-Me,PFPeA,alternate_oxygen,0,1,93,8,64,48,48,0,inputs/water/PC4P-Me_PFPeA_alternate_oxygen
PC4P-Me_PFPeA_alternate_oxygen__unsolvated,PC4P-Me_PFPeA_alternate_oxygen,unsolvated,2,complex,PC4P-Me,PFPeA,alternate_oxygen,0,1,93,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFPeA_alternate_oxygen
PC4P-Me_PFHpA_head_axial__water,PC4P-Me_PFHpA_head_axial,water,2,complex,PC4P-Me,PFHpA,head_axial,0,1,99,8,64,48,48,0,inputs/water/PC4P-Me_PFHpA_head_axial
PC4P-Me_PFHpA_head_axial__unsolvated,PC4P-Me_PFHpA_head_axial,unsolvated,2,complex,PC4P-Me,PFHpA,head_axial,0,1,99,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFHpA_head_axial
PC4P-Me_PFHpA_head_tangential__water,PC4P-Me_PFHpA_head_tangential,water,2,complex,PC4P-Me,PFHpA,head_tangential,0,1,99,8,64,48,48,0,inputs/water/PC4P-Me_PFHpA_head_tangential
PC4P-Me_PFHpA_head_tangential__unsolvated,PC4P-Me_PFHpA_head_tangential,unsolvated,2,complex,PC4P-Me,PFHpA,head_tangential,0,1,99,8,64,48,48,0,inputs/unsolvated/PC4P-Me_PFHpA_head_tangential
